Id,Url,Heb Date,En Date,Rabby,Title,Question,Answer
145851,https://www.hidabroot.org/question/145851,"י""ב אב התשע""ה ",28.07.15,בנימין שמואלי,"תהילים ברצף, ק""ש שעל המיטה","שלום רב, 1.אני מנסה לקרוא בשבת את כל ספר תהלים. האם יש חשיבות לקריאה של הספר ברציפות על פני קריאתו עם הפסקה/הפסקות? 2. בק""ש שעל המיטה, בפרשה שעוסקת בציצית, מסתיימת ב: ""אני ה' אל.."" מיד אחרי זה אומרים ""אמת"" או שחוזרים שוב ""ה' אל..אמת""? בסידור כתוב -""ותאמר מיד ה' אלו..אמת"". ולא ברור לי אם אומרים זאת פעמיים בסיום. 3. האם חשוב להקפיד להתפלל ולקרוא תהילים לפי הניקוד? לדוגמא: המילה ""כסא"" ללא דגש באות כ' ב-""אשר יצר""?
 ","שלום וברכה
1. יש לזה מעלה גדולה.
2. אומרים מיד אמת.
3. חשוב מאוד להקפיד.
בברכה,
בנימין שמואלי"
145841,https://www.hidabroot.org/question/145841,"י""ב אב התשע""ה ",28.07.15,בנימין שמואלי,"מזמור צ""א","האם מזמור צ""א הוא רק לשמירה מפני פגעים או שאפשר לומר אותו גם כשרוצים לבקש נס (משהו מעל הטבע, כמו הפגעים המוזכרים במזמור)","שלום וברכה
ניתן לומר זאת על כל ענייו שהיא.
בברכה,
בנימין שמואלי"
145785,https://www.hidabroot.org/question/145785,"י""ב אב התשע""ה ",28.07.15,בנימין שמואלי,אמירת קדישO,"[28/7, 10:21] ♡בעלי היקר♡: שלום רב רציתי לשאול מדוע נאמר בהלכה שאם היה באמצע לומר ""יהא שמא רבה מברך"" ושמע קדושה ממניין אחר יענה עד ""יתברך"" כדי שנספיק לומר קדוש קדוש עם הציבור מהמניין השני... מה השוני בין קדיש לקדושה ומה בכלל הטעם שמקצרים את הקדיש במניין שלך כדי לענות למניין אחר...? מקור: קיצור שולחן ערוך של הילקוט יוסף דף קלז הלכה כד","שלום וברכה
לא מקצרים מאומה אלא מזדרזים כדי לומר את הקדושה שמעלתה גדולה עד מאוד ולכן אומרים את יהא שמיה רבה קצת מהר ולא אומרים יתברך שאינו חלק עיקרי של יהא שמיה רבה כדי נשוכל לקיים אף את המצווה החשובה של הקדושה. ביסודו הדברים שמי שאינו יכול לומר את הקדושה ואת יהא שמיה רבה עדיף שיאמר את יהא שמיה רבה כמבואר במשנה ברורה ובבן איש חי.
בברכה,
בנימין שמואלי"
145038,https://www.hidabroot.org/question/145038,"י""א אב התשע""ה ",27.07.15,רב נחום,שלום:-),"שלום כבוד הרב 1. אם בירכתי על שתיה שהכל ואחרי כמה זמן אני רוצה לאכול משהו שגם הברכה שלו זה שהכל האם אני צריכה לברך שוב? או רק אם עבר 30 דקות? שלום אם התכוונתי לשתות משהו ובירכתי עליו שהכל, ואני עדין שותה לגימות כל פעם, ואז אני רוצה מסטיק, האם אני צריכה לברך שוב שהכל על המסטיק או כל אוכל מסוים? או זה שבירכתי כבר ולא עברו 30 דקות נחשב גם על מה שאני רוצה לאכול הבא (שמברכם עליו שהכל)?
2. בבוקר שאני קמה שכבר אור בחוץ ואני צריכה לבית הכיסא ולחזור לישון, האם נאי צריכה להגיד מודה אני ונטילה אם ברכה או שמספיק נטילנ ואשר יצר ואז לחזור לישון? כי אני לא קמה לגמרי, רק קמתי לבית הכיסא למרות שהשעה היתה נגיד 11 תודה","לכבוד השואלת, 
1. 1- יש לברך פעם שנית אם המאכל השני אינה ממין הראשון כלל, ראי משנה ברורה סימן רו ס""ק כא.
2- יש לומר מודה אני וליטול ידיים אבל בלי לברך ""על נטילת ידיים"" (רק אשר יצר), ואח""כ כשאת קמה לשחרית (אם את מתפללת שחרית לפני חצות היום), אז יש לצאת שוב ליטול ידיים ולברך על נטילת ידיים ואשר יצר. 
אין לברך ברכת על נטילת ידיים אלא סמוך לתפילת שחרית.
בברכה, 
 
רב נחום"
145674,https://www.hidabroot.org/question/145674,"י""א אב התשע""ה ",27.07.15,הלל מאירס,אמירת ברוך הוא וברוך שמו בשמיעת ברכה,"בס""ד, שלום כבוד הרב, רציתי לדעת אם בכל פעם שמישהו מברך אני צריכה להגיד ""ברוך הוא וברוך שמו""? 
תודה","שלום רב,
אכן על כל ברכה ששומעים נכון לענות ""ברוך הוא וברוך שמו"" (שלחן ערוך אורח חיים סימן קכד סעיף ה. ויעויין להאור החיים הקדוש בספרו ראשון לציון על מסכת ברכות דף סג עמוד א, שאין זה חיוב אלא מידת חסידות).
אמנם אין לענות ""ברוך הוא וברוך שמו"" על ברכות שהשומע מכוון לצאת בהם ידי חובה, כמו ברכת הקידוש, וברכות השופר, וברכות המגילה וכיוצא בזה (משנה ברורה שם ס""ק כא, ושו""ת יביע אומר חלק ח' חלק אורח חיים סימן כב אות ח).
בברכה,
הלל מאירס"
144238,https://www.hidabroot.org/question/144238,"י' אב התשע""ה ",26.07.15,בנימין שמואלי,לאיזה כיוון מתפללים?II,"רציתי לשאול,לאיזה כיוון צריך להתפלל בכל תפילה?","שלום וברכה
תפילת העמידה אם את בירושלים מתפללים לכיוון מקום המקדש.
אם את מחוץ לירושלים מתפללים לכיוון ירושלים.
אם את בחוץ לארץ מתפללי לכיוון ארץ ישראל.
בברכה,
בנימין שמואלי"
144265,https://www.hidabroot.org/question/144265,"י' אב התשע""ה ",26.07.15,בנימין שמואלי ,"האם תפילות של שחרית,מנחה,ערבית הם תפילות רגילות בצום שעה באב","שלום כבוד הרב האם תפילות של שחרית,מנחה,ערבית הם תפילות רגילות בצום שעה באב","שלום וברכה
מצטערים שעקב תקלה טכנית באתר לא יכולנו לענות על השאלה בתשעה באב עצמו.
בברכה,
בנימין שמואלי "
143972,https://www.hidabroot.org/question/143972,"ז' אב התשע""ה ",23.07.15,בנימין שמואלי,עם אילו בגדים לקרוא קריאת שמע?,כבוד הרב שלום. רציתי לשאול איך הכי טוב לעשות קריאת שמע שעל המיטה? אני יכול עם חולצה ארוכת שרוולים ועם תחתון?,"שלום וברכה
מותר.
בברכה,
בנימין שמואלי"
144046,https://www.hidabroot.org/question/144046,"ז' אב התשע""ה ",23.07.15,הלל מאירס,ברכה אחרונה על גלידה,"שמעתי מאחד שאמר שעל גלידה לא מברכים ברכה אחרונה נפשות. האם זה נכון לפי דעת הרב עובדיה יוסף זצ""ל? תודה","שלום רב,
לפי דעת הרב עובדיה יוסף זצ""ל, מי שאכל גלידה, אפילו אם אכל שיעור רביעית בתוך כדי אכילת פרס, אינו מברך ברכה אחרונה, כיוון שדין הגלידה כשתייה שאין מברכים אחריה ברכה אחרונה אלא אם כן שתה שיעור רביעית בתוך שיעור זמן של שתיית רביעית (4-5 שניות).
מקורות: שו""ת יביע אומר חלק ה' (חלק אורח חיים סוף סימן יח) וחלק ח' (חלק אורח חיים סימן כה סוף אות ו), וספר חזון עובדיה ברכות (עמוד קמו, ד""ה ולכאורה). וע""ע בספר הלכה ברורה חלק י' (סימן רי סעיף יד). אמנם ראה בספר פסקי תשובות (סימן רי אות ב, ד""ה ולענין) שסובר, שברוב האופנים של אכילת גלידה, אם אכל ממנו שיעור כזית (27 גרם) תוך שיעור זמן של 4 דקות, יש לו לברך ברכה אחרונה.
בברכה,
הלל מאירס"
143879,https://www.hidabroot.org/question/143879,"ז' אב התשע""ה ",23.07.15,-------,ברכות השחר למי שלא ישן בלילה,אם אני עובד לילה ולא ישן בכלל אני יכול להגיד ברכות השחר בבוקר או רק אחרי שאני ישן? (לפי עדות המזרח). תודה רבה,
