Id,Url,Heb Date,En Date,Rabby,Title,Question,Answer
17049,https://www.hidabroot.org/question/17049,"כ""ה אדר א' התשע""ד ",25.02.14,-------,משחקים בשבת,,
16970,https://www.hidabroot.org/question/16970,"כ""ה אדר א' התשע""ד ",25.02.14,חג שמח - בנימין שמואלי ,"אם אחרי שאני מברך על הבשמים, אני יכול להשתמש איתם לשתות תה  כמו למשל נענע,מנטה?",,"שלום וברכה 
1. מותר לאכול את הבשמים. 
2. יש להרים את הכוס. 
3. יש לשפוך מעט מהבקבוק לתוך השארית שבכוס, וכך להחזיר את היין הנותר. 
חג שמח - בנימין שמואלי "
16997,https://www.hidabroot.org/question/16997,"כ""ה אדר א' התשע""ד ",25.02.14,-------,האם מותר לשחק לפעמים בשבת במשחקים כמו-דמקה -שש-בש סולמות ונחשים,,
17006,https://www.hidabroot.org/question/17006,"כ""ה אדר א' התשע""ד ",25.02.14,-------,האם משחקים של ילדים שהם עובדים על בטריות מותרים בשבת כאשר מוציאים מהם את הבטריות לפני שבת?,,
16870,https://www.hidabroot.org/question/16870,"כ""ה אדר א' התשע""ד ",25.02.14,-------,האם בבית דין שלמעלה דנים אדם במספר הפעמים שהוא חילל את השבת או במספר השבתות שהוא חילל?,,
16872,https://www.hidabroot.org/question/16872,"כ""ה אדר א' התשע""ד ",25.02.14,,רציתי לדעת מהי הסעודה השלישית בשבת?,,"שו´ע אורח חיים סימן רצא (א) יהא זהיר מאד לקיים סעודה שלישית ואף אם הוא שבע יכול לקיים אותה בכביצה, ואם א´א לו כלל לאכול אינו חייב לצער את עצמו והחכם עיניו בראשו שלא ימלא בטנו בסעודת הבוקר כדי ליתן מקום לסעודה שלישית:(ב) זמנה משיגיע זמן המנחה דהיינו משש שעות ומחצה ולמעלה ואם עשאה קודם לכן לא קיים מצות סעודה שלישית: (ד) א´צ לקדש בסעודה שלישית אבל צריך לבצוע על שתי ככרות: הגה ואם סועד הרבה פעמים בשבת צריך לכל סעודה ב` ככרות ולפחות לא יהיה לו בסעודה שלישית פחות מככר אחד שלם (ה) צריך לעשותה בפת וי´א שיכול לעשותה בכל מאכל העשוי מאחד מחמשת מיני דגן וי´א שיכול לעשותה בדברים שמלפתים בהם הפת כבשר ודגים אבל לא בפירות וי´א דאפילו בפירות יכול לעשותה וסברא ראשונה עיקר שצריך לעשותה בפת אא´כ הוא שבע ביותר. או במקום שא´א לו לאכול פת כגון בערב פסח שחל להיות בשבת שאסור לו לאכול פת לאחר מנחה כדלקמן בהלכות פסח (ו) נשים חייבות בסעודה שלישית:"
16821,https://www.hidabroot.org/question/16821,"כ""ה אדר א' התשע""ד ",25.02.14,בברכה - בנימין שמואלי ,איפור בחג ובשבתת..,,"שלום וברכה 
אין להתאפר בשבת ובחג, ויש המקילין להתאפר באבקה בשבת ובחג. 
בברכה - בנימין שמואלי "
16824,https://www.hidabroot.org/question/16824,"כ""ה אדר א' התשע""ד ",25.02.14,שנה טובה - מנשה ישראל ,"שש בש, קלפים, שחמט האם מותר בשבת",,"שלום וברכה 
בעיקרון, ההלכה מתייחסת למשחקים בשבת משלשה הבטים שונים. 
א. משחק שהוא כ`עובדא דחול` נאסר, ולכן הרבה פוסקים אוסרים משחק במונופול שהוא כעין עסק, וקשה למדוד את זה ביחס למשחקים אחרים, עד כמה הוא עובדא דחול`. 
ב. משחק הגורר בעקבותיו חשש של כתיבה, נאסרת גזירה שמא יכתוב, וכל המשחקים שמונים בהם נקודות של זכיה נכללים בכלל הזה, ולכן יש לאסור את משחק הסנוקר [ראה שמירת שבת כהלכתה פרק טז סעיף לב]. 
ג. יש משחקים שהם בעצמם מסוגי המוקצה, מאחר וכלי שמייחדים לו מקום והוא יקר, ומקפידים שלא להשתמש בו לדבר אחר, נקרא מוקצה מחמת חסרון כיס, וכנראה שמשחק `סנוקר` נכלל בגדר זה. 
שנה טובה - מנשה ישראל "
16763,https://www.hidabroot.org/question/16763,"כ""ה אדר א' התשע""ד ",25.02.14,בהצלחה - מנשה ישראל ,גרעינים בשבת זה מותר,,"בשני השאלות אפשר לסמוך על המקילים.
בהצלחה - מנשה ישראל "
16708,https://www.hidabroot.org/question/16708,"כ""ה אדר א' התשע""ד ",25.02.14,-------,האם מותר לקרוא תהילים בבית הכנסת בשבת ולא לשמור את השבת?,,
